watermarker,attack,sample_idx,z_score,p_value,is_detected,perplexity,prompt_len,text_len
kgw,clean,74,4.464418717230567,4.0143209986474305e-06,1,185.375,30,48
kgw,clean,75,7.707139547199077,6.433454148672791e-15,1,11.03125,30,132
kgw,clean,76,8.947213620951908,1.822841426681227e-19,1,12.46875,30,151
kgw,clean,77,8.560619751298137,5.6131197605511e-18,1,16.71875,30,156
kgw,clean,78,7.532105968509446,2.4964205708660855e-14,1,16.953125,30,169
kgw,clean,79,8.192941705230835,1.2745882936689985e-16,1,21.34375,30,142
kgw,clean,80,5.578018081208209,1.216371867512188e-08,1,9.6171875,30,113
kgw,clean,81,7.946549629034693,9.58890347689694e-16,1,15.859375,30,126
kgw,clean,82,7.688539286732972,7.441216078329191e-15,1,9.2109375,30,155
kgw,clean,83,6.670481774415078,1.2748251916394827e-11,1,67.1875,30,83
kgw,clean,84,7.304488726499312,1.3916150147890742e-13,1,13.8046875,30,159
kgw,clean,85,1.6045149064768403,0.054300300691109825,0,45.1875,30,56
kgw,clean,86,8.795200711499172,7.139625246202466e-19,1,17.1875,30,156
kgw,clean,87,7.19550421436027,3.111518221722508e-13,1,7.390625,30,153
kgw,clean,88,7.443870965651609,4.888850428118742e-14,1,16.484375,30,87
kgw,clean,89,6.252441383636792,2.0204271386221785e-10,1,13.5625,30,132
kgw,clean,90,5.062895554167108,2.0646805474664316e-07,1,60.1875,30,67
kgw,clean,91,7.033533126053657,1.006840694593517e-12,1,10.8125,30,146
kgw,clean,92,8.796733124359417,7.042838291337718e-19,1,11.875,30,164
kgw,clean,93,7.115124735378853,5.5905834025161e-13,1,15.28125,30,129
kgw,clean,94,8.454968154078788,1.3958176562445795e-17,1,19.78125,30,156
kgw,clean,95,7.406560798180411,6.480841694254161e-14,1,10.0625,30,160
kgw,clean,96,7.264243303278792,1.8756613389139223e-13,1,13.3828125,30,148
kgw,clean,97,4.817730411281796,7.260018587644759e-07,1,6.24609375,30,134
kgw,clean,98,9.141401281603622,3.082413042060703e-20,1,11.203125,30,159
kgw,clean,99,9.09491693883423,4.7329398152861344e-20,1,14.1328125,24,148
kgw,clean,100,8.058229640253803,3.87036499587295e-16,1,12.6640625,30,138
kgw,clean,101,6.465987068038796,5.031984257811863e-11,1,3.583984375,30,154
kgw,clean,102,6.275716324421889,1.7401410928380796e-10,1,24.328125,30,85
kgw,clean,103,6.3264373484457685,1.254430476503056e-10,1,13.1171875,30,135
kgw,clean,104,3.36269122990683,0.0003859332244143304,0,-1.0,30,31
kgw,clean,105,5.131156509334681,1.4398366930335028e-07,1,4.04296875,18,124
kgw,clean,106,8.394754916753648,2.3343352718613258e-17,1,17.453125,30,147
kgw,clean,107,6.305841447708336,1.4331617357101928e-10,1,13.6953125,30,163
kgw,clean,108,7.652514332541697,9.854356682498427e-15,1,13.2265625,30,170
kgw,clean,109,6.894291116568838,2.7067032331489706e-12,1,6.79296875,30,159
