model,watermarker,attack,sample_idx,z_score,p_value,is_detected
gpt2,gpw_sp,paraphrase,19,5.452382673766769,2.48496810906218e-08,1
gpt2,gpw_sp_low,paraphrase,0,3.638870609178738,0.00013691816709926474,0
gpt2,gpw_sp_low,paraphrase,1,-1.2288478807785603,0.890435577178279,0
gpt2,gpw_sp_low,paraphrase,2,4.346442943955463,6.91815105569038e-06,1
gpt2,gpw_sp_low,paraphrase,3,3.647212397623876,0.0001325503897520175,0
gpt2,gpw_sp_low,paraphrase,4,4.136897877713795,1.760163431641093e-05,1
gpt2,gpw_sp_low,paraphrase,5,2.6940795304016234,0.0035291660242640077,0
gpt2,gpw_sp_low,paraphrase,6,4.190279412931976,1.3930557731578475e-05,1
gpt2,gpw_sp_low,paraphrase,7,2.2132669799727456,0.01343962234853624,0
gpt2,gpw_sp_low,paraphrase,8,1.8569533817705175,0.031658893415022926,0
gpt2,gpw_sp_low,paraphrase,9,5.2478450149193145,7.694433556970637e-08,1
gpt2,gpw_sp_low,paraphrase,10,3.8430756913220914,6.075098782154509e-05,0
gpt2,gpw_sp_low,paraphrase,11,2.708381313869479,0.0033806145154466893,0
gpt2,gpw_sp_low,paraphrase,12,0.6910947404650875,0.24475300265913413,0
gpt2,gpw_sp_low,paraphrase,13,1.4281274532053752,0.07662758846690476,0
gpt2,gpw_sp_low,paraphrase,14,1.57786411722106,0.05729841501949573,0
gpt2,gpw_sp_low,paraphrase,15,2.741411574957852,0.0030587912238112525,0
gpt2,gpw_sp_low,paraphrase,16,0.518321055348815,0.302117142397498,0
gpt2,gpw_sp_low,paraphrase,17,2.400980191995123,0.008175610787902965,0
gpt2,gpw_sp_low,paraphrase,18,4.2847960423085505,9.145345326921905e-06,1
gpt2,gpw_sp_low,paraphrase,19,4.673773191347206,1.4785794816285502e-06,1
gpt2,gpw_sp_sr,paraphrase,0,3.9581140290126386,3.77719466341242e-05,0
gpt2,gpw_sp_sr,paraphrase,1,4.631835565865854,1.8121898370804246e-06,1
gpt2,gpw_sp_sr,paraphrase,2,2.7760883751542673,0.002750862577162061,0
gpt2,gpw_sp_sr,paraphrase,3,5.773502691896259,3.882018262402198e-09,1
gpt2,gpw_sp_sr,paraphrase,4,3.0096463271442304,0.0013077602826689905,0
gpt2,gpw_sp_sr,paraphrase,5,4.230769230769232,1.164467537473346e-05,1
gpt2,gpw_sp_sr,paraphrase,6,0.0,0.5,0
gpt2,gpw_sp_sr,paraphrase,7,2.959320151246863,0.0015415930454539817,0
gpt2,gpw_sp_sr,paraphrase,8,7.754278454880778,4.440892098500626e-15,1
gpt2,gpw_sp_sr,paraphrase,9,3.5688712648767758,0.00017926126437661782,0
gpt2,gpw_sp_sr,paraphrase,10,4.389477864571921,5.681157137948922e-06,1
gpt2,gpw_sp_sr,paraphrase,11,6.619276003825101,1.8048118555213932e-11,1
gpt2,gpw_sp_sr,paraphrase,12,4.919349550499537,4.341614042724373e-07,1
gpt2,gpw_sp_sr,paraphrase,13,5.34679673207404,4.476222925653417e-08,1
gpt2,gpw_sp_sr,paraphrase,14,4.044563087162534,2.621039581296447e-05,1
gpt2,gpw_sp_sr,paraphrase,15,7.6139790908321,1.3322676295501878e-14,1
gpt2,gpw_sp_sr,paraphrase,16,8.076923076923077,3.3306690738754696e-16,1
gpt2,gpw_sp_sr,paraphrase,17,6.8565605342801765,3.5269565046291973e-12,1
gpt2,gpw_sp_sr,paraphrase,18,6.0462353597355465,7.413473168682572e-10,1
gpt2,gpw_sp_sr,paraphrase,19,8.610537802979819,0.0,1
gpt2,unigram,paraphrase,0,10.910907578731331,0.0,1
gpt2,unigram,paraphrase,1,9.108437646689818,0.0,1
gpt2,unigram,paraphrase,2,10.404245390591814,0.0,1
gpt2,unigram,paraphrase,3,9.076378416598237,0.0,1
gpt2,unigram,paraphrase,4,8.864828547985866,0.0,1
gpt2,unigram,paraphrase,5,8.877545314489295,0.0,1
gpt2,unigram,paraphrase,6,9.676431849257934,0.0,1
gpt2,unigram,paraphrase,7,9.893818294745373,0.0,1
gpt2,unigram,paraphrase,8,9.995120760870789,0.0,1
gpt2,unigram,paraphrase,9,7.09929573971954,6.269429420058259e-13,1
gpt2,unigram,paraphrase,10,9.287432920695053,0.0,1
gpt2,unigram,paraphrase,11,9.437313870045916,0.0,1
gpt2,unigram,paraphrase,12,9.927945535915404,0.0,1
gpt2,unigram,paraphrase,13,7.944299095067363,9.992007221626409e-16,1
gpt2,unigram,paraphrase,14,9.49471465075242,0.0,1
gpt2,unigram,paraphrase,15,7.7326000445048155,5.218048215738236e-15,1
gpt2,unigram,paraphrase,16,7.275305487061688,1.7286172493413687e-13,1
gpt2,unigram,paraphrase,17,8.278795899070198,1.1102230246251565e-16,1
gpt2,unigram,paraphrase,18,9.959745568633142,0.0,1
gpt2,unigram,paraphrase,19,9.018381794484132,0.0,1
gpt2,kgw,paraphrase,0,4.6923076923076925,1.3507021291436772e-06,1
gpt2,kgw,paraphrase,1,2.59160527674408,0.00477646540677823,0
gpt2,kgw,paraphrase,2,3.903137553125778,4.747685087236331e-05,0
gpt2,kgw,paraphrase,3,1.6550318531021102,0.048959018387780606,0
gpt2,kgw,paraphrase,4,2.864006223032629,0.002091598965757391,0
gpt2,kgw,paraphrase,5,0.7803989725717086,0.21757803622276428,0
gpt2,kgw,paraphrase,6,6.344409644902455,1.1164003055341709e-10,1
gpt2,kgw,paraphrase,7,2.8401877872187726,0.0022543491824521533,0
gpt2,kgw,paraphrase,8,2.685380346549404,0.0036223654951657025,0
gpt2,kgw,paraphrase,9,1.0579249964025073,0.1450448190943301,0
gpt2,kgw,paraphrase,10,6.846153846153846,3.793076963631847e-12,1
gpt2,kgw,paraphrase,11,3.944467458277702,3.9988756403097625e-05,0
gpt2,kgw,paraphrase,12,3.1299537008542986,0.000874169282474746,0
gpt2,kgw,paraphrase,13,2.3706292499958055,0.00887891694280396,0
gpt2,kgw,paraphrase,14,1.1917080461366754,0.11668787100942923,0
gpt2,kgw,paraphrase,15,5.640760748177662,8.46502368201385e-09,1
gpt2,kgw,paraphrase,16,0.8451542547285162,0.19901235975346898,0
gpt2,kgw,paraphrase,17,3.662048064470217,0.0001251034498327419,0
gpt2,kgw,paraphrase,18,1.5461980716652026,0.061028369547008965,0
gpt2,kgw,paraphrase,19,3.3319948650953677,0.000431129235866079,0
