watermarker,attack,sample_idx,z_score,p_value,is_detected,perplexity,prompt_len,text_len
unigram,clean,155,7.636753236814713,1.1138393397338932e-14,1,8.96875,30,145
unigram,clean,156,2.9488391230979425,0.0015948498531084352,0,-1.0,30,28
unigram,clean,157,8.71923882160253,1.400391261509351e-18,1,15.28125,30,153
unigram,clean,158,8.061017305526642,3.783105810931244e-16,1,9.1796875,30,152
unigram,clean,159,8.48528137423857,1.0759868356249456e-17,1,12.9453125,30,160
unigram,clean,160,9.192388155425117,1.9210741635603234e-20,1,12.015625,30,145
unigram,clean,161,4.949747468305833,3.71549186170705e-07,1,5.79296875,30,148
unigram,clean,162,7.919595949289332,1.1914181422915142e-15,1,11.3359375,30,130
unigram,clean,163,7.5,3.1908916729108844e-14,1,14.5546875,30,81
unigram,clean,164,7.714285714285714,6.08308274525467e-15,1,15.4296875,30,169
unigram,clean,165,8.48528137423857,1.0759868356249456e-17,1,14.21875,30,145
unigram,clean,166,9.758073580374356,8.518020964828397e-23,1,10.875,30,171
unigram,clean,167,7.495331880577403,3.3065409251704e-14,1,15.4921875,30,150
unigram,clean,168,9.475230867899736,1.3308572881882963e-21,1,15.34375,30,167
unigram,clean,169,11.31370849898476,5.612148586491464e-30,1,10.9453125,30,170
unigram,clean,170,5.091168824543142,1.7793149650384244e-07,1,7.375,30,133
unigram,clean,171,8.061017305526642,3.783105810931244e-16,1,10.7109375,30,161
unigram,clean,172,4.949747468305833,3.71549186170705e-07,1,9.3046875,30,165
unigram,clean,173,8.385894843320678,2.5170661178758294e-17,1,11.265625,30,143
unigram,clean,174,5.374011537017761,3.850196372848201e-08,1,3.71484375,30,118
unigram,clean,175,10.465180361560902,6.241928231766698e-26,1,9.578125,30,161
unigram,clean,176,6.363961030678928,9.830802207714439e-11,1,7.98828125,30,145
unigram,clean,177,7.353910524340094,9.624530549986154e-14,1,8.0234375,30,162
unigram,clean,178,10.375768195973041,1.598156033312373e-25,1,4.5390625,30,103
unigram,clean,179,6.646803743153546,1.497629893189825e-11,1,12.71875,30,170
unigram,clean,180,7.919595949289332,1.1914181422915142e-15,1,11.578125,30,152
unigram,clean,181,7.417775395148164,5.955192689974496e-14,1,6.0078125,30,114
unigram,clean,182,9.758073580374356,8.518020964828397e-23,1,13.4609375,30,160
